case_name,object_name,image_prompt,motion_mode,motion_direction,force_direction,force_strength,gravity,initial_velocity,seed,sim_output_dir,vgen_prompt,eval_degradation,simulated_frames_num,estimated_real_size
hovering_cup_tilt_001,ceramic cup,"A ceramic cup hovering 10cm above a wooden table, slightly tilted to the right, with soft morning light casting a shadow on the table surface.",constant_velocity,0 0.1 0,,0,0,0 0.05 0 0 0 0,42,000,"A ceramic cup glides smoothly across a table surface in a slow, controlled tilt.",0.5,48,10cm
magnetic_bear_tilt_004,magnetic bear,"A magnetic bear standing on a metal surface, tilting slightly as it's repelled by a hidden magnet below, with visible motion blur in its limbs.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic bear tilting forward as it's pushed by a repelling force from below.,0.5,72,1.2m
hovering_cup_tilt_002,ceramic cup,"A ceramic cup with a handle, slightly tilted on a smooth glass table, under soft studio lighting with a shallow depth of field.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A ceramic cup tilting forward as if pushed by a gentle force while resting on a table.,0.5,72,10cm
magnetic_bear_tilt_005,magnetic bear,"A magnetic bear standing on a metal surface, tilting slightly as it's repelled by a hidden magnet below, with visible motion blur in its paws.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic bear tilting forward as it's pushed by a repelling force from below.,0.5,72,1.2m
magnetic_bear_tilt_006,magnetic bear,"A magnetic bear standing on a metal surface, tilting slightly as it's repelled by a hidden magnet below, with visible motion blur in its paws.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic bear tilting forward as it's pushed by a repelling force from below.,0.5,72,1.2m
magnetic_bear_tilt_007,magnetic bear,"A magnetic bear standing on a metal surface, tilting slightly as it's pulled by an off-screen magnet, with visible metallic sheen and soft studio lighting.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic bear tilting forward as it's pulled by a hidden magnetic field.,0.5,72,1.2m
hovering_cup_tilt_003,ceramic cup,"A ceramic cup with a handle, slightly tilted on a smooth glass table, under soft ambient lighting with a blurred background of a modern kitchen.",constant_acceleration,0 0.3 0.1,0 0.1 0.05,0.02,0,0 0.05 0 0 0 0,42,000,A ceramic cup tilting forward and slowly rotating on a table with a gentle push.,0.5,72,12cm
magnetic_bear_tilt_008,magnetic bear,"A magnetic bear standing on a metal surface, tilting slightly as it's repelled by a hidden magnet beneath the floor, with visible motion blur in its limbs.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic bear tilting forward as it's pushed by a repelling force from below.,0.5,72,1.2m
magnetic_bear_tilt_009,magnetic bear,"A magnetic bear standing on a metal surface, tilting slightly as it's repelled by a hidden magnet beneath the floor, with visible motion blur in its paws.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic bear tilting forward as it's pushed by a repelling force from below.,0.5,100,1.2m
magnetic_bear_tilt_010,magnetic bear,"A magnetic bear standing on a metal surface, tilting slightly as it's repelled by a hidden magnet below, with visible motion blur in its paws.",constant_acceleration,0 0 1,0 0 1,0.45,0,0 0 0 0 0 0,100,000,A magnetic bear tilting forward as it's pushed by a repelling force from below.,0.5,100,1.2m
